cust_id,similar_customers
C0001,"[('C0137', 0.9999220855853387), ('C0152', 0.9998410620050778), ('C0107', 0.9883235558284369)]"
C0002,"[('C0043', 0.9778224250804382), ('C0142', 0.9755686535488207), ('C0088', 0.9546422288857564)]"
C0003,"[('C0133', 0.9948841870745617), ('C0052', 0.9892700742000288), ('C0112', 0.9603750614803367)]"
C0004,"[('C0113', 0.9861496298192557), ('C0108', 0.9826888290325633), ('C0102', 0.9778031655389875)]"
C0005,"[('C0159', 0.9993649717793118), ('C0123', 0.9819235522047528), ('C0186', 0.9722205247186396)]"
C0006,"[('C0158', 0.9755818262264939), ('C0168', 0.9719148797458799), ('C0171', 0.9602172088045909)]"
C0007,"[('C0140', 0.9790158476972118), ('C0080', 0.9436265004311071), ('C0078', 0.9431508886374257)]"
C0008,"[('C0109', 0.9757912296012697), ('C0139', 0.9689538011722378), ('C0098', 0.947641824638547)]"
C0009,"[('C0121', 0.9857336618905443), ('C0010', 0.974449000341859), ('C0060', 0.9722064690278092)]"
C0010,"[('C0199', 0.993811688766021), ('C0111', 0.9792550072404299), ('C0009', 0.974449000341859)]"
C0011,"[('C0107', 0.9982466218041676), ('C0048', 0.99781823670715), ('C0152', 0.9811709342182878)]"
C0012,"[('C0155', 0.9988325462174904), ('C0108', 0.9908496382951404), ('C0102', 0.979949650037509)]"
C0013,"[('C0087', 0.990205863468798), ('C0099', 0.9860743219615408), ('C0104', 0.9852779591625196)]"
C0014,"[('C0198', 0.9847300597616462), ('C0060', 0.9774902617343285), ('C0009', 0.9673647522984606)]"
C0015,"[('C0144', 0.9936791396121631), ('C0036', 0.9811872485917815), ('C0131', 0.9766568840969675)]"
C0016,"[('C0183', 0.9999358559489496), ('C0067', 0.9581455580811371), ('C0026', 0.9543695318641516)]"
C0017,"[('C0124', 0.9823284154019966), ('C0075', 0.972830080603746), ('C0179', 0.905362142893645)]"
C0018,"[('C0117', 0.9658979732310469), ('C0079', 0.9658182260551401), ('C0026', 0.93570477854807)]"
C0019,"[('C0172', 0.9999896339268738), ('C0111', 0.9809235812278475), ('C0103', 0.9623913147465124)]"
C0020,"[('C0042', 0.9344768729774614), ('C0176', 0.9320201693041928), ('C0144', 0.9275166778264089)]"
